GID_0,NAME_0,GID_1,NAME_1,VARNAME_1,NL_NAME_1,TYPE_1,ENGTYPE_1,CC_1,HASC_1,NO2_mean,O3_max,PM25_RH35_GCC_mean
BRA,Brazil,BRA.3_1,Amapá,,,Estado,State,,BR.AP,0.0718946538419805,25.02930450439453,3.6975942758413463
BRA,Brazil,BRA.4_1,Amazonas,Amazone,,Estado,State,,BR.AM,0.1467640454168207,55.879356384277344,33.439312727479525
BRA,Brazil,BRA.5_1,Bahia,Ba¡a,,Estado,State,,BR.BA,0.8283262664545653,66.70597839355469,6.980714884772462
BRA,Brazil,BRA.6_1,Ceará,,,Estado,State,,BR.CE,0.6987979151621586,32.94553756713867,3.791806004628414
BRA,Brazil,BRA.7_1,Distrito Federal,,,Distrito Federal,Federal District,,BR.DF,3.3699432373046876,67.05522155761719,17.114168294270833
BRA,Brazil,BRA.8_1,Espírito Santo,Espiritu Santo,,Estado,State,,BR.ES,0.8161557804454457,53.31821823120117,9.81978399103338
BRA,Brazil,BRA.9_1,Goiás,Goiáz|Goyáz,,Estado,State,,BR.GO,1.2818136512686353,67.05522155761719,10.334662593176606
BRA,Brazil,BRA.10_1,Maranhão,São Luíz de Maranhão,,Estado,State,,BR.MA,0.5302250588587089,63.44635009765625,13.224414441012597
BRA,Brazil,BRA.12_1,Mato Grosso,Matto Grosso,,Estado,State,,BR.MT,0.662698406062714,79.62808227539062,20.609621741818874
BRA,Brazil,BRA.11_1,Mato Grosso do Sul,,,Estado,State,,BR.MS,1.1083385885393662,54.07491683959961,8.493726534893993
BRA,Brazil,BRA.13_1,Minas Gerais,Minas|Minas Geraes,,Estado,State,,BR.MG,1.4004787197469748,64.26126098632812,13.521432807343235
BRA,Brazil,BRA.14_1,Pará,,,Estado,State,,BR.PA,0.1734430181046485,55.93756103515625,12.215729417919977
BRA,Brazil,BRA.15_1,Paraíba,Parahyba,,Estado,State,,BR.PB,0.845775672367641,33.06195068359375,3.908665248325893
BRA,Brazil,BRA.16_1,Paraná,,,Estado,State,,BR.PR,0.8500408367351727,44.99452209472656,7.828072212837838
BRA,Brazil,BRA.17_1,Pernambuco,Pernambouc,,Estado,State,,BR.PE,0.6395374529928134,33.93506622314453,3.409824434564917
BRA,Brazil,BRA.18_1,Piauí,Piauhy,,Estado,State,,BR.PI,0.7510416151602057,51.455589294433594,5.6910446746439876
BRA,Brazil,BRA.19_1,Rio de Janeiro,,,Estado,State,,BR.RJ,3.307124730160362,48.31235885620117,16.575472861842105
BRA,Brazil,BRA.20_1,Rio Grande do Norte,,,Estado,State,,BR.RN,0.7197125004787072,29.1329345703125,3.367599188112745
BRA,Brazil,BRA.21_1,Rio Grande do Sul,,,Estado,State,,BR.RS,1.0672689730695668,41.32743835449219,8.967957809258298
BRA,Brazil,BRA.22_1,Rondônia,Guaporé,,Estado,State,,BR.RO,0.3313490584089949,49.243682861328125,21.30046188766892
BRA,Brazil,BRA.23_1,Roraima,Rio Branco,,Estado,State,,BR.RR,0.07345037487343418,33.352989196777344,7.463275163774788
BRA,Brazil,BRA.24_1,Santa Catarina,Santa Catharina,,Estado,State,,BR.SC,0.8220743966932914,42.084136962890625,9.476519987950871
