iso_a3,country,data_source,sector,gas,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
LBY,Libya,CAIT,Total including LUCF,All GHG,MtCO₂e,105.32,102.72,99.77,100.49,105.69,107.57,109.81,109.57,111.01,109.46,111.3,115.37,120.15,123.42,127.32,133.59,134.75,132.52,138.42,141.57,145.81,115.16,117.93,109.15,102.27,84.88,86.62,96.58,103.04
QAT,Qatar,CAIT,Total including LUCF,All GHG,MtCO₂e,14.08,16.24,16.42,17.34,18.23,19.1,20.05,21.69,23.13,25.37,24.23,26.17,30.5,32.04,35.26,44.81,49.05,55.95,60.67,63.19,68.84,72.84,80.86,82.7,88.94,92.46,94.7,97.34,99.83
AFG,Afghanistan,CAIT,Total including LUCF,All GHG,MtCO₂e,12.79,12.71,11.25,11.08,10.88,11.09,12.05,12.95,13.71,14.53,12.69,13.61,16.21,16.9,16.64,17.52,21.16,25.0,31.66,37.08,45.03,58.41,66.5,74.55,84.37,93.48,95.53,97.45,99.08
PRY,Paraguay,CAIT,Total including LUCF,All GHG,MtCO₂e,75.16,72.17,71.53,71.75,71.74,73.74,73.7,74.9,75.13,78.31,73.74,89.81,90.05,91.75,89.59,90.96,91.09,94.74,92.51,94.53,97.24,110.36,111.63,113.28,115.13,115.54,94.16,97.1,95.29
ZMB,Zambia,CAIT,Total including LUCF,All GHG,MtCO₂e,77.42,76.95,76.27,74.99,73.43,70.94,59.95,58.16,57.15,53.22,47.47,53.21,56.45,62.17,62.74,65.37,60.68,63.26,65.56,62.11,68.23,82.69,86.73,88.17,89.04,94.32,93.51,93.87,93.23
MAR,Morocco,CAIT,Total including LUCF,All GHG,MtCO₂e,34.78,36.19,37.31,37.0,40.11,40.73,41.41,43.36,44.29,46.47,47.58,51.84,53.64,53.91,58.46,61.35,63.9,65.14,68.11,68.69,72.5,80.73,83.0,83.82,85.61,88.35,86.73,91.16,92.35
ECU,Ecuador,CAIT,Total including LUCF,All GHG,MtCO₂e,70.4,71.25,73.51,73.27,74.88,78.0,81.38,83.43,82.35,79.72,78.93,75.26,75.62,76.2,78.86,80.37,82.85,82.98,84.27,87.58,90.38,79.83,81.06,84.03,84.87,83.48,91.17,90.21,91.84
ISR,Israel,CAIT,Total including LUCF,All GHG,MtCO₂e,43.95,45.03,47.82,51.88,55.21,59.03,62.13,65.15,66.52,68.72,73.59,73.5,75.52,76.34,77.43,76.09,80.41,83.61,84.28,83.86,89.32,89.54,96.67,88.51,87.1,89.46,89.51,91.14,87.92
CAF,Central African Republic,CAIT,Total including LUCF,All GHG,MtCO₂e,64.44,65.19,65.67,66.16,69.1,69.67,58.69,62.37,67.96,64.61,66.21,74.07,69.63,83.41,72.15,78.25,77.77,80.56,80.89,70.69,78.74,83.04,80.14,80.65,79.57,83.31,90.99,86.67,87.07
GRC,Greece,CAIT,Total including LUCF,All GHG,MtCO₂e,94.44,94.55,96.63,97.0,99.62,104.03,105.1,106.21,110.45,111.37,117.05,117.43,117.81,121.13,120.74,122.83,121.21,124.62,120.71,113.81,107.1,107.17,102.01,94.37,91.31,89.58,88.31,87.92,86.14
